Box Number,Center X,Center Y
1,556,475
2,496,473
3,436,471
4,376,470
5,317,469
6,259,468
7,205,463
8,562,431
9,499,428
10,436,427
11,373,425
12,311,424
13,251,424
14,194,419
15,567,381
16,502,379
17,435,378
18,370,374
19,305,375
20,242,375
21,182,371
22,573,327
23,504,325
24,435,324
25,366,323
26,298,321
27,232,322
28,170,320
29,579,267
30,507,265
31,434,264
32,362,263
33,291,263
34,222,264
35,158,263
36,585,202
37,510,200
38,433,198
39,357,199
40,283,199
41,212,201
42,146,202
43,590,132
44,512,128
45,433,127
46,354,126
47,276,129
48,202,133
49,134,137
